bilayers,$\epsilon_{r}$,"$\overline{MV}_{int, NN}$",$\overline{M}_{int}$,$\overline{IE}_{int}$,PF,"$\overline{\alpha}_{int, NN}$",$\overline{BL}_{max}$,"$\overline{N}_{p, v}$",$\overline{BL}_{min}$,"$\overline{Gr}_{int, NN}$",a,$\overline{\kappa}_{int}$,"$\overline{C}_{int}^{p, g}$",$\rho$,"$\overline{P}_{int, NN}$",Y_Corr
BMDS_AgSe2-AgSe2_668,2.553301,1.75285460188621E-05,1419.0596088689,2703.1074735741,3.5507379543,74.9746068653,1.089570792,2.6666666667,0.820858418,14.3629515068,2.8725903014,0.0586008421,0.9221014867,52.4147445861,2.8725903014,0.064
BMDS_Nb2Te2-Nb2Te2_636,22.830521,3.7874387552006E-05,2848.6995116916,3426.7490735802,3.1108863267,236.5178240134,1.2701212216,2,0.7298787784,43.3616010691,3.9419637336,0.0926361477,0.7962766742,46.9451115717,0,0.084
BMDS_SbNbAs-AsNbSb_64,24.425167,7.62337409640522E-06,3707.9329607683,3221.4793705024,3.0054005524,231.3205883782,1.1273979505,2,0.7539258197,34.017733585,3.4017733585,1.707690226,1.1191834349,45.2892665258,3.4017733585,0.929
BMDS_TeCrSe-SeCrTe_283,10.293495,3.050671634341E-05,1655.1694534481,3152.8632706369,3.0537091264,181.2645089707,1.1412894793,2.6666666667,0.7233203201,33.5054545232,3.3505454523,0.0683511272,1.0755250902,44.6575228303,0,0.298
BMDS_IAsSe-SeAsI_111,6.195456,1.29843538430924E-05,1941.9530119551,3699.1453122464,1.7054366743,4.3241868687,1.1717458395,4,0.6752931408,3.9310789716,3.9310789716,0.080194011,1.2618763499,32.8104344073,0,0.094
BMDS_ZnTe2-ZnTe2_723,2.425146,3.90895919716993E-05,2502.523434999,3010.3279855597,2.7495214068,2.3201653633,1.1228384959,2.6666666667,0.7543230084,13.8517335123,3.4629333781,0.0813789344,0.6995125424,43.9657973982,3.4629333781,1.067
BMDS_TeTiS-TeTiS_50,18.091612,2.80038354466695E-05,1998.6395103719,3362.0073274414,2.2970515606,256.5264299284,1.1747980697,2.6666666667,0.6711855578,43.1741537046,3.5978461421,0.0471137952,1.6370199946,29.1276509787,3.5978461421,0.067
BMDS_RuI2-RuI2_436,4.943809,7.03371214567261E-05,1553.1660160702,4048.6302458452,2.3679447311,156.9827872001,1.1774631092,3.3333333333,0.6450737816,36.1341453913,4.0149050435,0.0180269236,0.8591896793,43.3479341667,0,0.038
BMDS_TeBiI-IBiTe_351,4.994725,1.85856641861818E-05,1663.9352442547,4337.3718503462,2.5343918213,64.9487454782,1.135027382,4,0.7407214002,8.6024828448,4.3012414224,0.019312574,0.9204656644,48.5873265333,4.3012414224,0.021
BMDS_IAsS-SAsI_81,5.667206,1.25841433091884E-05,1490.9023476377,3837.4343050228,1.6258732254,40.6930808656,1.1778067267,4,0.668876581,3.838969893,3.838969893,0.010326829,2.7179906842,28.6333883503,3.838969893,0.104
BMDS_BiTiSb-SbTiBi_175,36.444573,0.00002481,2965.9780437817,2736.9776809776,4.168460876,187.0596256783,1.0965123776,2,0.8081558438,36.0992260081,3.2817478189,0.79746472,0.6793217985,63.2687724431,3.2817478189,0.196
BMDS_ClAsSe-ClAsSe_39,4.297531,0.020696439,1249.9114039483,4116.6703421507,1.3068669556,30.9848830606,1.1717728327,4,0.6614757159,5.6336151019,3.7557434013,0.0384757133,1.5022973605,24.2690292172,1.8778717006,0.105
BMDS_CdCl2-CdCl2_382,1.86365,0.0430853065,671.0324230031,4892.7492287966,1.8733438668,122.7879841626,1.1738502684,3.3333333333,0.6522994633,19.5522267775,3.9104453555,0.0003480296,1.8731033253,23.7843118995,7.820890711,0.01
BMDS_IBiTe-IBiTe_46,4.94361,1.15858212222612E-05,2453.1649817388,4151.6596391298,2.2362712655,55.4969680685,1.1611780877,4,0.6891058683,6.6331037532,4.4220691688,0.061886858,0.9197903871,42.8719984345,4.4220691688,0.04
BMDS_SBiBr-BrBiS_322,3.463721,1.69554837949099E-05,1062.4157455651,4556.2366755818,2.0229257545,107.9203353283,1.1481216968,4,0.7189987408,7.9940989132,3.9970494566,0.0048764003,1.8946014424,38.8977131619,7.9940989132,0.153
