bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_ISbS-SSbI_72,1.8586970436,816.8069585446,4,65.3445566836,14.444574718,79.2302749788,3.44933,2104.9932128653,30.4522553546,2.8914966332,0.000007437,366.3175007333,1.15107
BMDS_NiS2-NiS2_524,1.845881944,708.9393624472,2.6666666667,56.7151489958,10.8815887228,68.7671181574,2.1056,4748.6176375438,20.149958323,2.5096453431,3.46316878555457E-05,95.2396228905,1.660531
BMDS_Ni2S2-Ni2S2_582,2.5989557199,712.6375775396,2,57.0110062032,10.9952616218,69.1258450213,3.46156,4773.3890218758,27.0223449525,2.5227370245,3.48123456628095E-05,95.7364448042,3.098455
BMDS_BiCrAs-AsCrBi_77,3.5027845297,257.7819912158,2,49.5734598492,9.4591371598,99.1469196984,3.57456,3602.3380823752,55.7865787261,1.0873112194,0.000019175,75.7664235849,2.649861
BMDS_S2Sb-S2Sb_540,1.8911889378,721.9826860398,3.6666666667,57.7586148832,11.2853747903,70.0323205459,3.4105,1860.6215801932,27.6044005746,2.5558187086,6.57365235639239E-06,323.7911851217,1.327021
BMDS_InSb-InSb_746,1.7580765994,308.9449013857,2,65.4841577502,18.947515573,252.5817513221,0.75982,1108.6234035115,24.3457761106,1.0290367646,0.000005786,16.2353936822,0.461363
BMDS_WSe2-WSe2_565,2.420511932,646.4811256625,2.6666666667,53.0446051826,9.5186014085,95.811818111,3.35473,10612.2363243359,59.601679029,1.0642073915,0.00002266,347.7073869717,2.742515
BMDS_MoS2-MoS2_518,2.4440590088,636.9381381508,2.6666666667,50.9550510521,8.7836609638,61.7829994006,3.12458,7986.0577637624,30.719136716,2.2547610091,2.23788214839284E-05,203.4221178719,2.369223
BMDS_SnS-SnS_752,1.5548486333,577.5255020314,3,56.3806217408,12.2349031707,136.0652338011,1.45964,219.3582056528,22.9546348713,1.7571960443,2.27401841021142E-07,162.8366323577,0.627541
BMDS_SbNbBi-SbNbBi_232,4.5026467047,323.9412353401,2,49.9909313796,9.6187792917,151.6391585183,4.51867,6751.8085194224,74.1855966588,0.5482338808,2.97729323653372E-05,241.5021902206,2.976321
BMDS_TeSbBr-BrSbTe_311,2.1117708626,1336.2716331215,4,69.9834188634,14.6763207451,86.4501056548,3.82003,2626.3542097931,37.6900111234,1.9513023848,3.05827540433128E-05,172.3074105851,1.122439
BMDS_TeTaSe-TeTaSe_32,2.5773616635,693.794664223,2.6666666667,57.6361091774,11.237707974,120.495490749,3.47077,9660.0640561112,54.1366184928,0.9419901594,2.7078164542911E-05,281.0324075592,2.254683
BMDS_BiVAs-BiVAs_18,3.2465039757,284.9128570698,2,50.5164640195,9.8220871744,131.3428064506,3.69187,4599.6924371866,53.3525000666,0.7594308424,2.9922585520869E-05,306.4985421454,2.898119
BMDS_AuI2-AuI2_670,1.8496168694,1226.2891009554,3.3333333333,70.6196297976,17.2565332214,136.6697541376,3.54591,3948.3850429406,41.5838053862,0.8889765163,6.43012499786182E-05,288.1550911972,1.482705
BMDS_BiZrSb-SbZrBi_326,4.7735471091,343.960019625,2,49.994188899,9.6200158757,143.3166748438,5.00113,4080.259062261,73.4696386074,0.6899198068,1.38983845139178E-05,101.7748368146,3.027271
BMDS_Bi2Ti-Bi2Ti_482,4.8284256969,303.4887960063,2,49.9159203958,9.5902860632,159.7309452665,4.73418,4647.5049616493,81.5329098552,0.4059828192,3.57630930995596E-05,536.1415766062,3.271154
BMDS_BrHfI-IHfBr_353,2.9361948962,1073.2633393856,3.3333333333,61.8071706286,11.4474277235,119.6150537459,3.77851,7704.6273904439,56.138890018,0.7780432067,4.46793129326218E-05,185.0215831346,1.867308
BMDS_Al2Te2-Al2Te2_594,2.4514200394,782.7879568115,2.5,65.8496703942,14.6688484911,156.3929671863,5.13383,867.6105634881,31.9818607482,0.8313520887,4.30451064158348E-05,411.2435384252,1.472243
BMDS_TiBr2-TiBr2_550,2.3221653691,1126.2607519466,3.3333333333,58.9846974217,10.4259648734,72.8634497563,3.38168,5812.4214776987,33.0429023806,1.6446321516,5.20071546855451E-05,111.1583971353,1.787247
BMDS_AsTaBi-BiTaAs_122,3.2545923142,318.6147545972,2,52.4037425324,10.569731442,167.6919761038,3.86172,9591.9810331378,69.211168136,0.4262171059,3.65708251219721E-05,97.933860836,2.666844
