bilayers,PF,$\overline{EA}_{int}$,"$\overline{N}_{p, v}$",$\overline{Gr}_{int}$,A,$\overline{\alpha}_{int}$,d$_{layer}$,"$\overline{M}_{int, NN}$",$\rho$,"$\overline{C}_{int}^{p, g}$","$\overline{MV}_{int, NN}$","$\overline{AM}_{int, NN}$",Y_vdw
BMDS_SbNbAs-SbNbAs_4,3.0054005524,308.2006662804,2,51.0266003775,10.0215709461,124.1647275854,3.85288,5963.6828925252,45.2892665258,0.9116752601,1.62961952739086E-05,79.6668106375,2.638437
BMDS_SeBiBr-BrBiSe_306,2.0952103808,1324.124942939,4,69.3472705791,14.4109286311,85.6642754212,3.71498,1136.4793872545,42.8046491233,1.9335650738,1.7304183635081E-05,526.5350609512,1.12787
BMDS_AsWSb-SbWAs_305,3.4470224252,325.7390215905,2,47.3457880219,8.6278848535,135.7245923294,4.07449,8810.1673628279,73.9667110901,0.6533718747,2.72427664277869E-05,195.9484346932,3.517073
BMDS_Ag2Br2-Ag2Br2_619,2.3728402797,1436.266411855,2.5,75.2203604483,19.5782447697,92.9192687891,3.36359,4288.135760077,31.4460086679,2.0973206384,6.78177920348144E-05,123.7339531559,1.341729
BMDS_SeZrS-SeZrS_31,2.0396239473,738.9047067746,2.6666666667,59.8606344729,12.1219976656,90.3521451575,3.02917,6310.8822150965,26.1867689776,1.9248935273,8.83505551923163E-06,133.6070654986,1.427286
BMDS_ISbSe-SeSbI_295,2.1721487671,790.5396446048,4,64.8647913522,14.2335877894,117.1620293799,3.86007,1661.2683875188,38.57457234,1.3013498765,7.28107282928356E-06,173.5133168671,1.279452
BMDS_SeTaS-SeTaS_30,2.1441727044,679.9557489901,2.6666666667,55.085022703,10.2648213145,83.1439561423,3.17983,9807.9571485461,44.5601410321,1.7713277613,1.88407991713827E-05,431.8507410474,1.989122
BMDS_ScSe2-ScSe2_441,2.3557845302,756.6226122037,2.6666666667,62.0818553603,13.0384529596,112.1353512445,2.95476,5121.7530672251,26.543928948,1.2455172232,5.13727353106515E-06,131.9398511161,1.171898
BMDS_AsMoBi-BiMoAs_121,3.5767338517,302.9621653291,2,49.8293035081,9.5570351847,159.4537712258,3.89399,7811.9060086393,62.1521949434,0.4052783352,3.99797111813122E-05,375.5149600183,2.815863
BMDS_MgCl2-MgCl2_696,0.8535218235,0,3.3333333333,7.7940288913,15.1868553355,277.4674285296,2.69423,2928.2166544547,5.9935450787,3.9866457779,0.0429334705,43.44391704,1.141409
BMDS_HfS2-HfS2_689,1.5456317377,774.5627707986,2.6666666667,61.9650216639,14.9987297436,75.1325887675,2.85012,8201.2255297697,25.9718551776,2.7419522086,1.14635290078193E-05,567.0767685709,0.959898
BMDS_SbVAs-SbVAs_201,3.2973553458,292.8451363105,2,48.4842940911,9.0476990613,117.9784489551,3.79065,3833.8470709632,46.0436552876,0.8662527211,2.35682153577056E-05,153.2081067276,3.147642
BMDS_Si2-Si2_760,1.0387446319,516.7881847663,2,54.1544504995,12.9580203684,144.2829288307,0.45132,0,8.6890717824,2.7541406254,0,0,0.481967
BMDS_ClTiBr-ClTiBr_189,2.2494944358,1138.538325356,3.3333333333,57.4677895815,9.8965660591,60.1721561501,3.27205,5822.163176249,27.6465767272,1.6107883374,0.0186523002,75.1323739614,1.728768
BMDS_ITiBr-BrTiI_278,2.5915313144,1177.087755301,3.3333333333,61.6466168827,11.3881551783,76.151703208,3.49511,6074.7301530507,37.3298075354,1.7188527296,5.43541847326153E-05,116.1748626512,1.700233
BMDS_ZrSe2-ZrSe2_726,1.6677833662,789.1095554402,2.6666666667,64.7474507028,16.3760223028,116.9500828319,3.11371,6612.3334030218,24.3468419555,1.2989957297,9.60690299802558E-06,49.6289209637,1.051398
BMDS_GaI2-GaI2_496,2.21489287,1193.1805529029,3.6666666667,68.71297222,14.1483150339,132.9798109434,3.88578,339.2804051852,36.9646419057,0.8649750621,5.61021208478735E-05,233.9353348928,1.206185
BMDS_CoTe2-CoTe2_488,3.010684395,689.7477498906,2.6666666667,58.02294426,11.3890443883,137.8044926175,2.98409,3790.8565345457,47.1694923712,0.7325396713,0.00005015,247.3630533258,1.981944
BMDS_Ni2Te2-Ni2Te2_583,3.0109465233,776.8043410134,2,65.3463168045,14.4453467609,155.1975024107,3.53628,4105.9541335145,42.7260178241,0.8249972497,5.66021627870944E-05,277.6046314633,2.947818
BMDS_ISbS-ISbS_234,2.0957029415,984.780604567,4,65.6255249409,13.6996362694,104.0065137699,3.74003,2052.9851718998,34.3352787606,1.8335373938,1.85521370355526E-05,189.9858947038,1.200433
BMDS_SeWS-SeWS_237,2.298184136,641.283790211,2.6666666667,51.9521045234,9.1305685841,78.415207765,3.2476,10565.1747962755,53.9299723254,1.6705848611,2.21527020694413E-05,416.6802308269,2.492575
BMDS_SbTaAs-SbTaAs_41,2.9692086776,310.2722060995,2,51.3695705463,10.1567147236,124.9992883293,3.82149,7853.0717276905,58.3470637355,0.9178029938,1.62036748693118E-05,282.8994167382,2.991093
BMDS_PtS2-PtS2_431,1.779254422,714.227776076,2.6666666667,57.1382220861,11.044432796,69.2800942794,2.45437,5903.2354148234,40.9907271855,2.5283663273,2.53907974395018E-05,582.1420623074,2.315166
BMDS_BiMoAs-AsMoBi_61,3.5767338517,259.112378242,2,49.8293035081,9.5570351847,99.6586070162,3.89399,5999.4481423722,62.1521949434,1.0929227236,0.000012454,69.8221488569,2.696052
BMDS_Bi2S2-Bi2S2_575,2.903799689,760.989781044,3.5,60.8791824835,12.5380012666,73.8160087613,6.6124,593.7242271705,54.4498354019,2.6939038249,1.90551841173418E-05,673.1540575466,2.000145
BMDS_IBiS-IBiS_45,2.0345152999,1038.2806748583,4,69.1907557963,15.2283166666,109.6568644893,3.51447,657.500882126,37.8524539234,1.9331477832,0.00001956,541.5661097275,1.149788
BMDS_CaCl2-CaCl2_672,1.5611990675,1575.5718921254,3.3333333333,76.7470549173,20.3807918508,65.912176576,2.70892,4259.0100946449,8.7701387817,2.1624611356,0.0496830773,20.8797134701,0.452007
BMDS_Al2S2-Al2S2_592,2.0726942603,715.8281164988,2.5,57.2662493199,11.0938660516,69.4353273004,4.73071,1951.0253229233,16.4288947143,2.5340315324,2.27991255104868E-05,18.1945611511,1.618522
BMDS_HfS2-HfS2_398,2.1338746559,728.9295474574,2.6666666667,58.3143637966,11.5036554544,70.7061661034,2.88748,7718.0518343885,35.8563312182,2.580410598,1.07881573023695E-05,533.6675449322,1.380486
BMDS_SnTe-SnTe_754,1.7744889358,621.8811814557,3,62.7107073737,15.1370006786,190.2224790335,1.69057,454.8198570122,29.9116529941,0.8967631154,8.80040260143976E-06,17.1294297191,0.681166
BMDS_CuS2-CuS2_386,1.9818766948,675.6442550378,2.6666666667,54.051540403,9.8832340368,65.5374927387,2.54293,3274.881486381,22.4892521626,2.3917806628,3.12012516976456E-05,106.3497839642,2.020252
BMDS_BrSbTe-BrSbTe_191,2.1117708626,1059.6312950261,4,67.9250830145,14.6763207451,121.4418150865,3.82003,1685.9828938537,37.6900111234,1.3914350339,1.9959682727016E-05,96.7428140674,1.171994
BMDS_OsCl2-OsCl2_419,1.6221039401,1276.1326693588,3.3333333333,62.161190198,11.5788464104,53.3854927583,2.33498,11461.0608562701,40.0098520649,1.7514829473,0.0403045479,565.9483844279,1.366707
BMDS_PbI2-PbI2_423,2.4753682783,1378.3911334959,4,79.3788931891,18.8820198102,153.6215050543,3.72181,998.1195416534,39.9634736109,0.9992401849,3.46325441637507E-05,371.6799939914,0.91305
BMDS_PbO2-PbO2_700,2.1435132059,501.2208413427,3.3333333333,56.8761238403,12.6364063665,18.8402160221,2.26535,1940.2223220798,32.4484457385,3.2632676053,0.0397341151,679.6718127463,0.712713
BMDS_SeMoS-SeMoS_212,2.5716262935,642.0525405392,2.6666666667,52.014383031,9.1526192535,78.5092093875,3.23305,7980.3717345137,37.8834083416,1.6725875043,2.28847030841808E-05,131.4257168742,2.432333
BMDS_IrLi2-IrLi2_506,5.4249375135,163.5378053921,0,2.7439229093,6.5203825334,450.3120484466,4.04648,6270.7144637701,51.7938102493,9.828731861,1.22927746335027E-05,508.3830609368,3.089179
BMDS_PtTe2-PtTe2_536,2.5646224304,742.27914115,2.6666666667,62.4419887403,13.1899531967,148.2997232581,3.09033,5146.5467644592,57.5959692516,0.7883301078,4.37054894938941E-05,266.0555574616,2.372508
BMDS_Cu2Se2-Cu2Se2_624,1.3477097638,723.7916944148,2,59.3880364648,13.7769982367,107.2696408645,3.19252,3206.100266075,19.1236401627,1.1914724816,3.43745378562821E-05,57.2129496293,2.419692
BMDS_Sc2Se2-Sc2Se2_655,2.1490000691,914.1916005782,2,75.010592868,21.9786568963,135.4878833677,2.47502,6188.373911606,18.7944333423,1.5049000194,6.20712655982303E-06,159.4167313088,0.980566
BMDS_GeO2-GeO2_393,1.4839533872,410.0377530968,3.3333333333,46.5291067344,7.3239954591,15.4127666058,1.95053,3363.4728030618,25.808475615,2.6696074989,0.0325190589,164.7147826812,1.190291
BMDS_HfTe2-HfTe2_401,2.7926476677,757.7219706916,2.6666666667,63.7410700897,13.7443910475,151.3850414631,3.5273,7104.4999958635,52.1204320369,0.8047310099,2.80819251914058E-05,205.5071856946,1.712345
BMDS_TeCrS-SCrTe_253,2.9580259843,654.3380475678,2.6666666667,52.3470438054,9.269686553,63.4707906141,3.17511,5861.6910977219,38.2553941089,2.3163566884,2.97069473595781E-05,65.2083852994,2.322359
BMDS_SeNbS-SNbSe_89,2.1549943895,687.3813023508,2.6666666667,54.9905041881,10.2298816774,66.675986328,3.1981,8116.7358944187,31.280557292,2.4333298103,1.89682870383703E-05,209.1062038442,2.210607
BMDS_InN-InN_744,1.8553892155,64.3746096776,2,50.2086092193,11.1383152954,129.8251181242,0,657.5534643113,23.6972284597,2.2826985549,0.0200481058,180.7712559496,0.448161
BMDS_Co2Te2-Co2Te2_622,3.1702767117,712.0134665116,2,59.8959803585,14.0139613475,142.2529533514,3.26392,3913.2290067469,45.0448562843,0.756186752,5.17688445236026E-05,255.3481691145,2.276072
BMDS_Al2Se2-Al2Se2_593,2.1752056486,736.8156438209,2.5,60.4566682109,12.3647907115,109.199856956,4.91595,1660.5557486665,26.2964590419,1.212911906,2.41637745755617E-05,196.4029330377,1.63778
BMDS_PbI2-PbI2_530,2.6062012121,1329.9899523527,4,76.5915622967,17.5791503038,148.2271999743,4.0591,963.0713150912,42.0757001198,0.9641526077,3.34164480914637E-05,358.6287269894,0.992646
BMDS_TeAsI-IAsTe_319,2.1794330948,1169.383507743,4,67.3425461776,13.5897429306,130.3276334849,3.80899,2785.4065496935,40.6081944644,0.8477238166,4.99404399800694E-05,208.6763285037,1.349275
BMDS_ZrSe2-ZrSe2_470,2.3028467509,741.0955563915,2.6666666667,60.8078405244,12.5084800338,109.8341619473,3.16641,6210.0007135576,33.617703011,1.2199573005,9.0223633378126E-06,46.609209762,1.519731
BMDS_TeZrS-SZrTe_298,2.6002055718,749.9525962096,2.6666666667,59.9962076968,12.1766825856,72.7454018323,3.39805,6523.2376723504,34.6300208681,2.6548321906,8.80819324248175E-06,221.8322281958,1.493552
BMDS_ZnCl2-ZnCl2_465,1.7275862152,1257.1455383799,3.3333333333,61.2363156231,11.2371828049,52.5911887116,2.73844,1877.0011379341,20.9301573415,1.7254232461,0.0397021654,107.8371518123,1.221534
BMDS_Ag2I2-Ag2I2_620,2.7035444467,1336.5144124132,2.5,76.9672933978,20.4983890997,148.9543501639,3.67245,3839.6718932227,36.7862433402,0.9688823992,6.97504777697728E-05,89.335484698,1.558376
BMDS_BiMoSb-SbMoBi_127,4.0958693326,347.961951506,2,50.5758650445,9.8455833811,144.9841464608,4.14548,6717.2166572596,67.9667649517,0.6979469376,0.000029833,87.0579223632,2.738093
BMDS_IBiTe-TeBiI_291,2.5343918213,818.0961185401,4,68.8198627584,16.021864861,163.4471740511,4.05982,766.7392959567,48.5873265333,0.8688507673,3.95284086718376E-06,353.0282608606,1.265626
BMDS_TiTe2-TiTe2_555,2.8248840564,712.7232679969,2.6666666667,59.9556902626,12.1607128825,142.3947643737,3.57723,4565.4009796603,41.2282028215,0.7569405896,3.68277827438168E-05,296.1717418208,1.702188
BMDS_SbTiBi-SbTiBi_216,4.5092877725,317.6297452388,2,49.0169359936,9.247711892,148.6847058474,4.66876,3976.6133053343,68.4418327168,0.5375523981,2.99117682411825E-05,383.9764555632,3.240425
BMDS_Bi2Nb-Bi2Nb_481,4.8497744545,308.514730903,2,50.7425544248,9.9104774664,162.3761741595,4.58671,7461.1852026285,87.3774916339,0.4127061093,3.56111246953527E-05,392.6594174873,3.01072
BMDS_IHfBr-BrHfI_293,2.9361948962,1180.1533874139,3.3333333333,61.8071706286,11.4474277235,76.3500343059,3.77851,8144.7308024786,56.138890018,1.7233293458,4.43920913749949E-05,358.4306896229,1.814789
BMDS_HgCl2-HgCl2_403,1.6729234227,1393.910165091,3.3333333333,67.8982028841,13.8149012127,58.3125742416,2.91647,250.5044285229,33.4982035183,1.9131317166,0.0439988343,659.5591488041,1.129584
BMDS_CuSe2-CuSe2_494,1.8989864992,749.7957286269,2.6666666667,61.5217008104,12.8040889648,111.1235720888,2.43605,3321.2874693133,30.3011404434,1.2342791225,3.56095294503289E-05,59.2684685182,1.794489
BMDS_PtSe2-PtSe2_535,2.0490984774,711.1669453245,2.6666666667,58.3521596164,11.5189879372,105.3985883071,2.92749,5643.383236898,52.1161700692,1.1706902023,2.60214161789241E-05,423.4835043958,2.577298
BMDS_SbTiAs-AsTiSb_112,3.0520941065,264.1676648979,2,50.8014740188,9.933219987,101.6029480377,3.81332,2882.1369593352,40.4574330021,1.1142456635,8.33482850402353E-06,91.6275705993,2.683122
BMDS_Ru2S2-Ru2S2_650,1.8241272854,777.6033913906,2,62.2082713112,15.1165632135,75.4275289649,2.48119,8626.1099413742,30.1137772839,2.7527160055,3.18428588774451E-05,268.2926101145,1.935129
BMDS_ZrBr2-ZrBr2_567,2.5430015406,1156.8364540945,3.3333333333,60.5860126913,10.9998514445,74.8415450893,3.66019,6636.6631078703,37.404880813,1.6892805892,4.13374800709845E-05,40.3431566862,1.741185
BMDS_SnTe2-SnTe2_447,2.4075574658,784.6763921264,3.3333333333,66.0085293061,14.739540594,156.770257102,3.57684,897.6334879015,41.8040180414,0.8333576825,1.73684942736707E-05,33.8066808374,1.293167
BMDS_BiMoAs-BiMoAs_197,3.9845808347,274.5917679677,2,48.6864836822,9.123515427,126.5848575737,4.09181,6747.2974852386,69.2392710988,0.731920138,2.56155819480001E-05,217.5617192886,2.882209
BMDS_CdTe2-CdTe2_677,3.0517455826,667.8422392634,2.6666666667,56.1802094018,12.3287307139,133.4279973292,4.50046,450.9866309726,48.2780004946,0.7092751437,0.000026173,50.8904915603,1.710631
BMDS_GeSe-GeSe_739,1.3982479472,576.399779144,3,55.0700425934,11.6729661374,126.4775311561,1.44565,1316.9082852164,24.1887856352,1.1766632434,5.0278948887756E-06,11.6014223063,0.77515
BMDS_NbTe2-NbTe2_413,3.0426498357,698.1846988081,2.6666666667,58.7326770816,11.6694225114,139.4901080689,3.7029,7441.9440971693,49.1856303401,0.7415000482,0.000035269,124.7999642931,2.337612
BMDS_FeSe2-FeSe2_684,1.785483467,714.9890465541,2.6666666667,58.6657679224,13.4440461888,105.9650433098,2.48989,4828.9260221112,26.1512984088,1.1769819689,3.40811445524099E-05,84.7537015954,1.671025
BMDS_Pb2O2-Pb2O2_642,1.7741392388,142.2646630679,3,56.743740255,16.4277978286,190.4968422847,2.39183,2212.2357763275,25.9555018158,0.5269061595,0.045304721,774.9597987858,0.78393
BMDS_GeTe-GeTe_740,1.6233382166,610.821367188,3,59.2646863378,13.5189480021,154.0881844782,1.56141,965.5007600241,27.4339422384,1.0312055423,1.34392553718628E-05,107.1989523925,0.731074
BMDS_TeZrSe-SeZrTe_285,2.6853857801,744.1485698948,2.6666666667,61.0583441965,12.611886075,110.2866342049,3.53888,6235.5834010672,39.6816481315,1.2249830304,9.05953182015509E-06,46.8012208266,1.572491
BMDS_ITiCl-ITiCl_221,2.509334088,1142.3104467073,3.3333333333,60.2895920336,10.8921639911,84.2281065175,3.37946,5893.3962824496,32.2323076408,1.2288437435,0.0195683117,163.3972069741,1.660883
BMDS_BrTiCl-ClTiBr_309,2.2494944358,1179.7799155263,3.3333333333,57.4677895815,9.8965660591,49.3546898759,3.27205,5981.3827579719,27.6465767272,1.6192394829,0.0372539307,41.9650082273,1.728848
BMDS_TlI2-TlI2_556,3.0012788901,1286.9806754747,3.6666666667,74.1147407963,16.460497383,143.433821894,4.20173,828.9951742599,44.1522787815,0.9329737959,3.70094138011687E-05,334.7514339403,0.489369
BMDS_PtSe2-PtSe2_432,1.9779775288,731.0301492084,2.6666666667,59.9819609607,12.170922557,108.3424169852,2.61434,5801.0053994105,50.3073007079,1.2033880918,2.67482057159068E-05,435.3115839271,2.367012
BMDS_AsS2-AsS2_362,1.4321842642,695.509435147,3.6666666667,55.6407548118,10.4728720796,67.4644152093,2.91129,2439.9862003827,22.4225380432,2.4621034004,1.13993996420593E-05,149.0358482916,1.468269
BMDS_BrAsS-SAsBr_97,1.3343938036,743.2119243526,4,59.4569539482,11.9589619999,72.0915566622,3.13695,2607.3360730138,24.4603414994,2.6309702122,1.21812434401391E-05,159.257680786,1.264841
BMDS_SZrTe-TeZrS_135,2.3296979853,728.2412401274,2.6666666667,61.2610927552,12.6958688425,145.4950952936,3.2203,5380.7915057871,31.0273505776,0.773421296,2.46499321973736E-05,136.6141512532,1.445967
BMDS_SbZrBi-BiZrSb_69,4.4309609447,304.8436402828,2,50.1387566255,9.6760985361,160.4440212015,4.96685,5293.3156661391,68.1968967415,0.4077952206,2.45913888329031E-05,393.6106320461,3.07407
BMDS_Bi2Hf-Bi2Hf_368,5.1425729759,306.7670417131,2,50.4551055449,9.7985540546,161.4563377438,5.02028,6598.182335795,102.0445084791,0.4103681918,2.68017520654642E-05,102.5597566738,3.117329
BMDS_BaCl2-BaCl2_478,2.8111319255,1585.5139761467,3.3333333333,77.2313398123,17.873945009,66.3280918388,3.38636,3763.4377588536,19.4377528161,2.1761065747,0.0499363078,462.8156183552,0.493167
BMDS_BiMoAs-BiMoAs_1,3.5767338517,281.0372717855,2,49.8293035081,9.5570351847,129.556189121,3.89399,6905.6770755058,62.1521949434,0.7491005294,2.62168575523819E-05,222.6685544376,2.746921
BMDS_SMoSe-SeMoS_332,2.5716262935,633.9252931906,2.6666666667,52.014383031,9.1526192535,93.9509793498,3.23305,7808.6592525325,37.8834083416,1.0435385596,2.29253393209238E-05,55.2002639917,2.422095
BMDS_SBiI-IBiS_165,2.0345152999,1237.8855218827,4,71.2874453659,15.2283166666,137.9621736787,3.51447,660.6668833761,37.8524539234,0.8973831358,1.81195912603493E-05,341.2588716972,1.122263
BMDS_SbMoAs-SbMoAs_22,3.3328600801,293.0677726639,2,48.5211544146,9.0615247202,118.0681424088,3.8848,6143.1339706817,50.7499777185,0.8669112922,0.000020374,75.7551079644,2.759258
BMDS_TiSb2-TiSb2_553,4.2444008147,330.2849349036,2,48.006531236,8.8702809149,137.6187228765,4.60814,3319.5556219066,55.4540638917,0.6624901311,2.41952917429415E-05,236.4897741748,3.242059
BMDS_FeBr2-FeBr2_388,2.2462657674,1168.6622835073,3.3333333333,61.2053568072,11.2254083027,75.6066172324,2.60305,5563.2069022656,33.1907806246,1.7065493604,6.66778357688056E-05,86.6199811426,1.349932
BMDS_Li2Ru-Li2Ru_512,5.3877639753,161.0288771104,0,2.7018267972,6.3217351851,443.4035502479,4.21032,5817.8706605797,29.6011416109,9.6779435874,1.29687686263392E-05,254.3202545893,3.167942
BMDS_BiSe2-BiSe2_376,2.1723929487,781.6942542378,3.6666666667,64.1390157323,13.9164397468,115.8510971665,3.47522,202.0378995569,44.2675743266,1.2867890031,1.99752947121394E-05,521.2112800703,1.10419
BMDS_SbTiAs-SbTiAs_52,3.0520941065,306.8409030738,2,50.8014740188,9.933219987,123.6169201125,3.81332,3197.4786423948,40.4574330021,0.9076530025,1.69693857047582E-05,170.9428959555,2.437412
BMDS_RuSe2-RuSe2_705,1.4590896262,748.8049287118,2.6666666667,61.4404044071,14.7460373624,110.9767304604,2.64723,8113.9734070153,28.5955055957,1.2326481134,3.15458076377807E-05,84.9029588401,1.800754
BMDS_IAsSe-SeAsI_243,1.9289523592,746.0648965088,4,61.215581252,12.6769365404,110.5706436364,3.66428,2280.280401637,37.1105921488,1.2281375989,1.26371915547098E-05,15.450812708,1.395194
BMDS_TeSbBr-BrSbTe_177,1.8602354265,1375.3833008508,4,72.0317810057,15.5480261597,88.98043536,3.51378,2703.2256262378,33.2007109101,2.008415541,3.14778882995088E-05,177.3507191633,1.078924
BMDS_SeWTe-TeWSe_360,2.7847735049,653.0031320669,2.6666666667,54.9319143695,10.2078869013,130.4632966275,3.49251,10204.7703973068,64.0843143837,0.6935154189,3.74189334195438E-05,195.4735006614,2.70653
BMDS_BrTiI-ITiBr_338,2.5915313144,1070.4753708098,3.3333333333,61.6466168827,11.3881551783,119.3043350259,3.49511,5635.7699781302,37.3298075354,0.7760221184,5.46406601875407E-05,289.1335119945,1.766275
BMDS_Rb2Cl2-Rb2Cl2_645,2.7191595601,2235.1565283769,2.5,108.8758194338,41.0169108105,93.5051155138,0.83947,902.1322309088,9.32513312,3.067736324,0.0702903059,320.3177843423,0.355379
BMDS_BiVAs-AsVBi_78,3.2465039757,262.6856129013,2,50.5164640195,9.8220871744,101.032928039,3.69187,3680.9663448858,53.3525000666,1.1079944442,1.596993815869E-05,80.7593239222,3.064858
BMDS_SeMoS-SMoSe_272,2.5716262935,650.1797878878,2.6666666667,52.014383031,9.1526192535,63.0674394251,3.23305,8152.0842164948,37.8834083416,2.3016364491,2.28440668474378E-05,207.6511697567,2.434464
BMDS_TeZrSe-TeZrSe_33,2.4163320844,749.4489346235,2.6666666667,62.259516895,13.112876065,130.1613025086,3.36701,5913.3700024883,35.7058714818,1.0175539793,1.71447144649584E-05,93.2812939929,1.530081
BMDS_Nb2Se2-Nb2Se2_635,2.5852662044,751.693875527,2,61.6774461971,14.8599235474,111.4048871935,3.73615,8696.5199137894,38.5467711112,1.2374037643,2.1371235107291E-05,53.7611459777,2.23573
BMDS_ZnS2-ZnS2_721,2.1192442229,596.6320086194,2.6666666667,47.7305606896,8.8990652084,57.8733048361,3.57688,907.8352643153,24.3989233819,2.1120773105,2.14757691502553E-05,99.4138084362,1.956694
BMDS_TeTiS-STiTe_273,2.5183059004,710.517960555,2.6666666667,56.8414368444,10.9299160455,68.9202421738,3.24333,5515.8930313806,31.933255911,2.5152335804,2.03883128781257E-05,56.1380240635,1.678203
BMDS_SHfSe-SeHfS_330,2.337687267,702.8062078243,2.6666666667,57.6661503856,11.2494017499,104.159484134,3.24007,7251.5184109872,42.963822393,1.1569271421,1.07583411813105E-05,358.7194967423,1.559465
BMDS_AlN-AlN_728,1.3447608355,77.3795661377,2,43.7702596334,8.4651783587,101.9221760036,0,1360.6610496477,9.8084039552,3.0279640325,0.0174862344,20.2825130247,0.581286
BMDS_ClSbTe-TeSbCl_70,1.7614560931,798.567124741,4,67.1770451938,15.2663931401,159.5454823352,3.32636,760.4441515935,29.2788813362,0.8481101956,9.52234615621774E-06,21.5995193125,1.033726
BMDS_TeWS-SWTe_274,2.6780117968,672.558467034,2.6666666667,53.8046773627,9.7931252298,65.2381713023,3.38764,11119.5436471665,58.7770787569,2.3808569733,2.29006158025077E-05,510.3878066704,2.45534
BMDS_ISbTe-TeSbI_271,2.3740954429,796.5442443179,4,67.0068764936,15.1887409387,159.1413316723,4.01667,758.5178419077,41.4825713772,0.8459618157,9.49822474297007E-06,21.5448047576,1.267484
BMDS_SbSe2-SbSe2_541,2.1329906914,729.8988808394,3.6666666667,59.8891389407,12.1336740174,108.1747572116,3.67568,1533.8357096943,38.829949452,1.20152585,6.72255584609044E-06,160.2034466663,1.396588
BMDS_Bi2Mo-Bi2Mo_369,4.719918422,312.0700271876,2,51.3273071032,10.1400341567,164.2473827303,4.21774,8046.7530255955,85.542869595,0.4174620978,4.11816093991502E-05,386.8039550581,2.815462
BMDS_SZrSe-SeZrS_151,2.0396239473,729.5514826382,2.6666666667,59.8606344729,12.1219976656,108.1232710166,3.02917,6113.2672955429,26.1867689776,1.2009539791,8.88182163991357E-06,45.8831763235,1.441994
BMDS_NiS2-NiS2_415,2.0335164376,669.868357426,2.6666666667,53.5894685941,9.7151720925,64.9772306703,2.33269,4486.9122317108,22.1982080707,2.3713339853,3.27230692602601E-05,89.990785005,1.905905
BMDS_BiHfSb-SbHfBi_307,4.8315505644,341.3979285417,2,49.6217919392,9.4775593292,142.2491368924,4.97645,5300.3351653878,89.7411704817,0.6847807288,1.58161191507528E-05,187.669617114,3.044494
BMDS_STaSe-SeTaS_150,2.1441727044,671.3487141927,2.6666666667,55.085022703,10.2648213145,99.4973222573,3.17983,9626.1077173479,44.5601410321,1.105143268,1.88838343453694E-05,351.1253616832,1.976545
BMDS_ClBiS-ClBiS_230,1.9095900808,1083.9003071174,4,65.152477477,13.5027491841,67.1267949763,3.45262,1044.0980663314,34.3358894872,2.3435148717,0.0217463965,691.8853525447,1.027638
BMDS_Rb2I2-Rb2I2_646,2.4394148782,2078.9852277382,2.5,119.72475905,49.7837993157,231.7026219261,1.64185,523.9014603369,13.0629007333,1.5071234375,0.0002119762,296.7216172497,0.325707
BMDS_ClSbSe-ClSbSe_27,1.5629807054,1096.6903776326,4,66.5271736432,14.0785412561,87.6949107114,3.24973,2302.1627640466,26.2741178135,1.6127799671,0.022205188,260.2764790166,1.023744
BMDS_SeHfS-SeHfS_11,2.0684040427,731.859560058,2.6666666667,59.2898884098,11.89206342,89.4906753185,3.01327,7651.43421164,38.014727282,1.9065404742,1.10149495811257E-05,455.7076407445,1.470416
BMDS_ZrI2-ZrI2_569,2.9609573294,1128.8376288823,3.3333333333,65.0075870291,12.6639462116,125.8088007799,3.87991,6658.1153032808,43.9648058385,0.8183308014,4.46563883133061E-05,139.1009403395,1.72324
BMDS_RuCl2-RuCl2_435,1.6568917718,1255.9073939491,3.3333333333,61.1760048628,11.2150485542,52.5393924116,2.4458,8764.0024848812,26.9143256971,1.7237239017,0.0396666295,236.128583005,1.492783
BMDS_SrBr2-SrBr2_448,2.5471961678,1496.3979946067,3.3333333333,78.3695807403,18.4044860414,96.809482091,3.13011,3615.1426597985,22.6273563057,2.1851283101,3.55244699520619E-05,35.5705697054,0.669807
BMDS_Ti2O2-Ti2O2_660,1.767665757,541.9467724218,2,61.4975060904,14.7733310587,20.3710488925,1.20878,7249.7872492339,15.1196369361,3.5284194119,0.0429920571,122.4861203179,1.216823
BMDS_SnTe2-SnTe2_709,1.9092048292,813.3377717191,3.3333333333,68.4195812172,18.2863455593,162.4965053908,3.60686,930.420780077,33.150790483,0.8637972129,1.80029023077673E-05,35.0415161428,0.99388
BMDS_OsH2-OsH2_527,1.5807082739,195.652493182,0,2.687534247,6.2550989275,12.1127168513,2.19898,8847.3358658013,54.0636472447,38.4424898692,0.0301046567,508.5408740404,2.368438
BMDS_AsTe2-AsTe2_364,2.336248851,730.6928524105,3.6666666667,61.467327227,12.781502826,145.984902164,3.59939,1411.212998972,43.6219640681,0.7760250062,2.83018624800634E-05,199.7031202816,1.529088
BMDS_Bi2O2-Bi2O2_596,2.636050226,561.684881879,3.5,63.7372915607,13.7430106123,21.1129778295,3.4167,1950.3611217585,54.5228994802,3.6569271033,0.0445150486,768.7553914177,1.269471
BMDS_FeCl2-FeCl2_389,2.0878249615,1186.5476769526,3.3333333333,57.7974513129,10.0103488679,49.6378111275,2.42753,5573.7142166076,22.1136935956,1.628528187,0.0374796413,69.3297427748,1.223168
