bilayers,PF,"$\overline{M}_{int, NN}$","$\overline{N}_{p, v}$",$\overline{EA}_{int}$,"$\overline{r}_{int, NN}^{atom}$",A,$\overline{Gr}_{int}$,$\overline{R}_{int}^{cov}$,$\rho$,$\overline{\alpha}_{int}$,$\overline{\kappa}_{int}$,$d_{layer}$,Y_Eadhe
BMDS_BiTe2-BiTe2_377,2.7075654786,743.2722050965,3.6666666667,793.0571828192,83.3919224836,15.056415797,66.7135379869,5.7123466901,51.9851677544,158.4446527189,0.0979855089,3.9504,0.233
BMDS_CuI2-CuI2_385,2.5001182485,3810.3991171115,3.3333333333,1158.519568421,117.7357284981,13.3383537056,66.7169128156,5.3373530252,39.5719956363,129.1168489196,0.017621114,3.22248,1.509
BMDS_BiZrSb-SbZrBi_326,4.7735471091,4080.259062261,2,343.960019625,243.3050526417,9.6200158757,49.994188899,4.6661242972,73.4696386074,143.3166748438,0.8099058602,5.00113,4.194
BMDS_ZrBr2-ZrBr2_567,2.5430015406,6636.6631078703,3.3333333333,1156.8364540945,399.1549071429,10.9998514445,60.5860126913,4.1697432264,37.404880813,74.8415450893,0.0043479374,3.66019,2.174
BMDS_ZnCl2-ZnCl2_465,1.7275862152,1877.0011379341,3.3333333333,1257.1455383799,226.9345814267,11.2371828049,61.2363156231,3.6021362131,20.9301573415,52.5911887116,0.0003205901,2.73844,1.458
BMDS_NbSb2-NbSb2_411,4.1575291447,6085.0012174898,2,340.1393797299,214.2350744423,9.4075622388,49.4388633328,4.6142939111,60.6262312348,141.7247415541,0.800909586,4.40059,3.841
BMDS_IAsTe-IAsTe_199,2.1794330948,2120.2800664022,4,961.4138798416,19.8066312287,13.5897429306,65.3618830547,5.4072103254,40.6081944644,140.4290154116,0.0554387608,3.80899,1.55
BMDS_ClBiSe-ClBiSe_54,1.756233912,877.881029425,4,1128.4671077675,215.7363588379,14.9063065732,68.4548061697,4.5221659833,34.0267969076,90.2358808601,0.0425021371,3.28662,1.145
BMDS_SbMoAs-AsMoSb_82,3.3328600801,5841.9469915124,2,252.3100029557,245.8405157004,9.0615247202,48.5211544146,3.8816923532,50.7499777185,97.0423088291,1.6238413011,3.8848,2.589
BMDS_SbSe2-SbSe2_438,1.9827632969,1589.0179942032,3.6666666667,756.1582040842,116.3320313976,13.0225101726,62.0437500787,4.5757265683,36.0951404533,112.0665235797,0.0791057814,3.35418,1.608
