bilayers,density,packing_fraction,mean_wt_CN_3,std_dev_wt_CN_3,avg_s_valence_electrons,avg_p_valence_electrons,avg_d_valence_electrons,min_MeanBondLength,max_MeanBondLength,mean_BondLengthVariation,lattice_constant,Area,static_dielectric_constant,layer_thickness,avg_surf_NN_thickness,mean_surf_Z,mean_surf_period,mean_surf_group,mean_surf_mass,mean_surf_kai_P,mean_surf_kai_A,mean_surf_EA,mean_surf_IE1,mean_surf_Rvdw,mean_surf_Rcov,mean_surf_MP,mean_surf_BP,mean_surf_Cp_g,mean_surf_Cp_mol,mean_surf_rho,mean_surf_E_fusion,mean_surf_E_vapor,mean_surf_Thermal_Cond,mean_surf_Ratom,mean_surf_Mol_Volume,mean_surf_Elemental_polarizability,mean_surf_Z_NN,mean_surf_period_NN,mean_surf_group_NN,mean_surf_mass_NN,mean_surf_kai_P_NN,mean_surf_kai_A_NN,mean_surf_EA_NN,mean_surf_IE1_NN,mean_surf_Rvdw_NN,mean_surf_Rcov_NN,mean_surf_MP_NN,mean_surf_BP_NN,mean_surf_Cp_g_NN,mean_surf_Cp_mol_NN,mean_surf_rho_NN,mean_surf_E_fusion_NN,mean_surf_E_vapor_NN,mean_surf_Thermal_Cond_NN,mean_surf_Ratom_NN,mean_surf_Mol_Volume_NN,mean_surf_Elemental_polarizability_NN,Y_Corr
BMDS_SeBiCl-ClBiSe_174,34.0267969076,1.756233912,0.6896063955,0.4389628452,2,4,6.6666666667,0.6618753091,1.1713855603,0.2875261014,4.1487761315,14.9063065732,3.450525,3.28662,2.9438715593,70.5291942355,12.4463283945,70.5291942355,147.08656019,13.1101325755,11.9028387213,1447.9228698928,5190.9486957303,7.2603582301,4.1487761315,711.9299841651,992.0138608025,1.987263767,140.8468008882,13.3341664866,13.2760836208,42.3175165413,0.0003692411,327.7533143883,0.0457651495,60.5721315199,273.8192246789,12.4463283945,8.297552263,719.9263352809,4.7296047899,3.563798697,1069.5544867002,2274.3590752872,1.3276083621,2.0743880657,1546.6637418225,6629.2878927593,1.4811130789,34.9700340124,27.2408640794,31.9455762125,700.3134109969,0.3261394405,265.5216724159,0.0456764985,138.569122792,0.048
BMDS_BrSbSe-BrSbSe_220,34.5189439792,1.8898017041,0.673383764,0.4619051106,2,4,10,0.7264129469,1.1418317915,0.293744143,3.96551338,13.618641721,4.390308,3.68175,2.9418604276,136.8102116114,15.8620535202,65.4309707707,314.9886588034,10.924989362,10.1497314962,1030.2403761347,4125.9183962637,7.4353375876,4.6594782215,1506.4985330776,2557.7561301265,1.5762915686,200.3635117966,15.7411053621,22.2068749282,81.3822483419,0.0428671996,390.603067934,8.32658671974109E-05,98.939558832,65.4309707707,3.96551338,5.9482700701,167.8522503504,2.7956869329,2.2821529502,620.9993953144,818.6802373095,0.7336199753,0.8922405105,2077.4531495359,4818.0987567498,0.7554302989,100.3136092182,10.8159377441,55.9137386586,188.1536960995,0.9207525517,136.8102116114,1.82909304654391E-05,71.5775165097,0.061
BMDS_BaI2-BaI2_367,27.5553582394,2.7414588686,0.6666666667,0.4714045208,2,3.3333333333,6.6666666667,0.6674134474,1.1662932763,0.2486392574,5.2016708522,23.4326462566,1.889374,3.56685,3.49281053,275.6885551687,26.0083542612,88.4284044881,663.7332007457,13.836444467,12.2707415404,1535.533235581,5245.3648873978,10.2993082874,7.074272359,2012.2663691887,2379.2442478141,1.1131575624,283.1269444874,25.6962540101,40.3649658134,108.7149208118,0.0233555021,598.1921480075,0.0001336257,171.1349710387,15.6050125567,5.2016708522,78.0250627836,50.5966523797,9.2069574085,7.6880695196,1462.9699271922,2629.4446158068,3.6411695966,3.6411695966,3189.4044830504,8767.9363885341,0.0520167085,137.116043665,7.4383893187,1.2484010045,620.5593326721,0.9337519347,717.830577609,6.98896495706832E-05,1243.7195007704,0.396
BMDS_In2Te2-In2Te2_606,43.5288687922,2.9296358876,0.6812937005,0.3187062995,2,2.5,10,0.7653407349,1.2346592651,0.2808647309,4.3820986035,16.6298823657,4.745776,5.59455,2.8851113309,227.8691273834,21.9104930176,70.1135776564,556.1080322312,9.2024070674,9.4565687864,833.4751543906,3809.3583160452,9.0271231233,6.0034750868,3166.7673768241,5525.8263390463,0.8851839179,112.7513970687,27.344295286,76.6867255617,221.8656522965,0.1029793172,538.9981282337,8.96095343435032E-05,166.519746934,13.1462958106,0,13.1462958106,52.9642347715,1.4022715531,2.199813499,706.8325047487,1362.8326656966,0.5696728185,0.2191049302,1283.5605019588,4750.1948862222,0.1358450567,4.4259195896,4.6888455058,62.4010841142,770.0223666116,3.4728131433,144.6092539164,2.07799115779203E-05,118.3166622952,0.07
BMDS_SbTiAs-SbTiAs_52,40.4574330021,3.0520941065,0.7225693891,0.2882543403,2,2,7.3333333333,0.755036841,1.1287435197,0.3214547996,3.3867649346,9.933219987,78.192762,3.81332,3.596346951,142.2441272527,15.2404422057,50.8014740188,333.0571730794,7.1630078367,7.1037394503,306.8409030738,3015.9141742515,6.6211254471,4.402794415,3376.2320956424,4651.721637658,0.9076530025,84.448983644,21.0385837737,80.2663289498,169.9647982423,1.2615699381,418.2654694217,5.2940216075028E-05,123.6169201125,67.7352986918,1.6933824673,37.2544142805,170.9428959555,1.9473898374,2.4300038406,281.1014895709,784.7134353443,0.5249485649,0.6096176882,3197.4786423948,7405.1615294789,0.8670118233,0.9990956557,5.7744342135,16.9338246729,1270.0876519449,0.5198684175,177.8051590659,1.69693857047582E-05,215.0595733464,3.51
BMDS_BaCl2-BaCl2_478,19.4377528161,2.8111319255,0.6666666667,0.4714045208,2,3.3333333333,0,0.6923663167,1.1538168417,0.280563358,4.543019989,17.873945009,1.589664,3.38636,3.1219455667,77.2313398123,13.6290599669,77.2313398123,161.0636876686,14.3559431651,13.0339243483,1585.5139761467,5684.2266101855,7.9502849807,4.543019989,779.5822301054,1086.28150956,2.1761065747,154.2309856052,14.6012662445,14.5376639647,46.3388038874,0.0004043288,358.8985791278,0.0501140535,66.3280918388,177.1777795694,13.6290599669,68.1452998344,462.8156183552,10.3126553749,9.0315237381,1522.1388473007,3399.541857738,4.2250085897,4.8156011883,3763.4377588536,8649.4103267792,1.249330497,26.7084145151,1.3447339167,21.806495947,590.5925985647,0.8355113492,790.4854780789,0.0499363078,1169.3733451581,0.459
BMDS_CuSe2-CuSe2_494,30.3011404434,1.8989864992,0.3170906607,0.2242169564,1.6666666667,2.6666666667,10,0.6511242952,1.1744378524,0.3043539089,3.8451063007,12.8040889648,10.648588,2.43605,2.5321654559,130.7336142221,15.3804252026,61.5217008104,303.6095934994,9.8050210667,9.3589887358,749.7957286269,3618.2450289126,7.3057019712,4.5372254348,1899.4825125216,3683.6118360237,1.2342791225,97.5234311034,18.5295672628,20.7635740235,101.2031978331,0.0784401685,396.0459489671,6.30020667361666E-05,111.1235720888,19.2255315033,0,19.2255315033,59.2684685182,2.4993190954,2.2455420796,294.5351426299,751.7182817773,0.230706378,0.153804252,3321.2874693133,8620.7283260596,0.2460868032,3.5490331155,15.768780939,29.607318515,1054.2512455125,15.3404360971,161.4944646273,3.56095294503289E-05,67.6738708915,0.712
BMDS_SbTaAs-AsTaSb_260,64.463198771,3.2804510959,0.7105514964,0.2957954286,2,2,7.6666666667,0.7723544193,1.1193482384,0.3071732203,3.370591364,9.8389643312,16.044097,3.95315,2.5591149524,111.229515011,13.4823654559,50.5588704595,252.5300979347,7.3478891735,7.4523775057,262.9061263896,3191.9500216787,6.2355940233,4.0447096368,3673.9445867262,2989.7145398405,1.1089245587,83.0513712082,19.3033767415,93.3653807819,109.2071601926,1.6920368647,384.2474154925,4.40940762234425E-05,101.1177409191,134.8236545588,6.7411827279,33.7059136397,357.3713311336,2.2920021275,2.935785078,158.4177941065,626.9299936982,1.2471188047,1.2808247183,7415.3010007318,16327.1445670658,0.6370417678,2.4268257821,36.8169694686,27.9759083209,2374.9186750526,0.2460531696,289.8708573013,7.35463035618035E-06,148.3060200146,5.068
BMDS_IBiSe-IBiSe_25,41.1050620472,2.0897812416,0.7089777968,0.4115675467,2,4,10,0.6837121798,1.1685065922,0.2996622409,4.2725638595,15.8092744393,4.388337,3.64147,3.0771835071,185.8565278871,19.2265373676,70.4973036813,441.2703954065,11.1300288539,10.2391992892,1047.2054019571,4164.4679938293,8.2887738874,5.4261561015,1881.7439378088,3023.6934433498,1.1429108324,170.4603440195,20.8479753523,28.1134701953,100.8752327222,0.0531720572,465.7094606827,8.98819259117546E-05,132.0222232577,168.7662724492,6.4088457892,6.4088457892,451.6117089719,2.4994498578,1.6513459317,657.547577973,1160.8556006191,0.5554333017,0.9826896877,444.2398272888,4825.006366504,0.6216580416,62.0953068517,20.9376991934,18.4574758729,663.9136981237,0.2830787185,145.2671712221,1.9876E-05,73.060841997,0.002
BMDS_PbCl2-PbCl2_422,28.2786006525,2.0089066059,0.6666666667,0.4714045208,2,4,3.3333333333,0.6502237795,1.1748881103,0.2716434774,4.3928466307,16.711625935,2.056977,2.97871,2.9411804024,74.6783927212,13.178539892,74.6783927212,155.7395915968,13.8813953529,12.6030769834,1533.1034741,5496.3297042806,7.6874816037,4.3928466307,753.8124818211,1050.3735578569,2.1041735361,149.1327502642,14.1186090709,14.0571092181,44.8070356327,0.0003909634,347.0348838221,0.0484574912,64.1355608076,285.5350309928,13.178539892,13.178539892,754.4582302758,3.6460627034,4.4587393301,1378.9145573639,2352.808655381,1.1860685903,1.9767809838,1884.575133019,7831.9623293356,1.5331034741,31.2287466974,35.6962717207,6.8967692101,736.6803799615,1.5502838973,329.4634972994,0.0483772251,142.3282308334,0.504
BMDS_BiTiAs-BiTiAs_35,49.1824671044,3.1265526667,0.747253775,0.2347070988,2,2,7.3333333333,0.7435437293,1.1373667699,0.3358978673,3.4855752425,10.5216300426,39.404407,3.83946,2.8040518784,202.1633640647,17.4278762125,52.2836286374,494.7808912473,7.3197080092,7.3563065493,294.879665515,2875.5995750576,6.8317274753,4.7055265774,2848.4120881661,4747.3534802768,0.7859972172,87.4182270817,27.0254076427,67.2716021801,368.4253031316,1.0120367717,447.8964186605,6.0039E-05,135.9374344573,125.4807087298,3.4855752425,38.3413276674,327.9368611148,1.9519221358,2.5462127146,268.389293672,579.3026053025,0.5228362864,0.5228362864,3917.0894575148,7661.2943830018,1.0404442099,1.5336531067,11.3159200248,29.2788320369,1113.6412899768,0.7377220001,165.5648240185,2.30187389014304E-05,212.6200897921,0.852
BMDS_NiCl2-NiCl2_699,13.0009566851,1.1287121636,0,0,2,3.3333333333,2.6666666667,0.54762088,1.2261898624,0.3277691015,4.0760300846,16.6137974823,16.540186,1.59702,2.188864398,69.2925114377,12.2280902537,69.2925114377,144.5074945882,12.8802550672,11.6941303126,1422.5344995146,5099.9288418127,7.133052648,4.0760300846,699.446762512,974.6195535213,1.9524184105,138.377145341,13.1003606918,13.0432962706,41.5755068626,0.0003627667,322.006376681,0.0449626879,59.5100392347,44.8363309303,4.0760300846,28.532210592,95.7060015917,5.0950376057,4.0311937536,966.0191300429,2095.4870664769,0.8967266186,0.6929251144,6343.9332236232,12011.6122959155,0.142661053,32.1150410363,23.2089153015,57.064421184,1497.1258500622,3.69659652,285.3221059198,0.0449358268,140.2154349092,4.539
BMDS_Bi2Zr-Bi2Zr_483,86.6674939522,5.1161852186,0.5030331979,0.3556981854,2,2,7.3333333333,0.8374633935,1.0812683058,0.2606445053,3.3814772847,9.9025096585,14.904491,5.06657,3.1982813784,280.6626146269,20.288863708,50.7221592699,706.6624755394,6.830584115,6.7967693422,308.3907283611,2377.1785311167,6.9996579792,5.072215927,1840.8762337695,6211.7737719223,0.4125402287,86.2953003045,33.070847844,36.8581024028,605.2844339543,0.2661222623,483.5512517065,7.22554066186362E-05,162.3109096637,145.4035232404,3.3814772847,37.1962501313,398.1905917235,2.3332193264,2.3332193264,169.4120119615,212.6949212052,0.5410363655,0.4734068199,5354.9074279892,9620.3028748606,0.5275104564,0.5410363655,11.0540492436,34.1529205751,1391.477902638,0.5014730813,213.0330689336,2.4877528383251E-05,216.4145462183,0.035
BMDS_HfO2-HfO2_688,29.1032072103,1.4494854074,0,0,2,2.6666666667,0.6666666667,0.5675104848,1.216244758,0.3443938315,3.4481552499,11.8899021689,1.690557,1.8936,1.966944928,27.5852419989,6.8963104997,55.1704839977,55.1684151046,11.8616540595,12.447840452,486.18989023,4530.5311827884,5.2411959798,2.2068193599,188.9589076922,311.0236035372,3.1654065194,101.2999049303,4.927413852,0.7654904655,11.7613127417,0.0009220367,165.5114519932,0.0386055462,18.2752228242,220.6819359909,13.7926209994,41.3778629983,560.2928154426,7.3790522347,8.4479803622,486.18989023,2259.9209507569,2.4481902274,3.4481552499,8452.1181484519,16502.1813947704,2.6688721634,12.5788703515,40.9675325236,87.1624684059,2267.7106782819,0.7921536708,551.7048399773,0.0385593409,336.8847679111,0.346
BMDS_AsMoBi-BiMoAs_121,62.1521949434,3.5767338517,0.6070068216,0.4051924242,1.6666666667,2,8.3333333333,0.7614269695,1.1231458209,0.3223293512,3.3219535672,9.5570351847,199.436636,3.89399,2.9198008947,275.722146078,19.9317214032,49.8293035081,694.2231852559,6.7103462058,6.6771266701,302.9621653291,2335.3333577451,6.8764438841,4.9829303508,1808.4715219864,6102.4287029556,0.4052783352,84.7762550351,32.4887058873,36.2092938825,594.6296885297,0.2614377457,475.0393601103,7.09835038240364E-05,159.4537712258,136.2000962554,3.3219535672,29.8975821048,375.5149600183,0.4650734994,1.7938549263,64.1137038471,62.1205317067,0.3321953567,0.1328781427,7811.9060086393,10215.0072191554,0.4285320102,4.8500522081,1.6609767836,83.3810345368,1366.6516975481,4.322858177,156.1318176586,3.99797111813122E-05,129.556189121,0.622
BMDS_AsMoSb-SbMoAs_142,50.7499777185,3.3328600801,0.5864614621,0.4125091798,1.6666666667,2,8.3333333333,0.7668261358,1.1190132326,0.3214185748,3.2347436276,9.0615247202,113.624337,3.8848,2.8202117692,164.9719250095,16.1737181382,48.5211544146,393.8623841011,6.6312244367,6.4177313572,333.8255423721,2697.7761854493,6.6635718729,4.5286410787,2923.4965957858,6016.6231474048,0.6695919309,81.6125817253,21.6630780743,63.7244494644,219.8655243705,0.7860427015,430.2209024757,5.88108738940683E-05,139.0939759884,29.1126926487,0,29.1126926487,83.5210804656,0.355821799,1.6626582246,101.247475545,484.2411210573,0.355821799,0.1940846177,6444.320949851,9872.4375515481,0.1423287196,3.7846500443,11.5900864178,52.7263211305,1689.9271133864,3.6779035046,184.3803867753,2.8621E-05,142.328719616,0.5
BMDS_C2-C2_756,9.278532275,0.6684125495,1,0,2,2,0,1,1,0.5758975625,2.4682760891,5.2764661424,3.254559,0,1.4250598598,14.8096565345,4.9365521782,34.5558652473,29.6457236232,6.2941040272,6.2792943706,379.8676901111,2681.7819707974,4.1960693515,1.8512070668,9436.2194885949,10613.5871830913,1.7500077472,21.0223074508,5.5783039613,259.1689893546,1764.8174037001,3.1840761549,165.3744979691,1.31065460330732E-05,27.8915198067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003
BMDS_In2Se2-In2Se2_605,40.4295189933,2.7603134949,0.7711246708,0.2288753292,2,2.5,10,0.768992303,1.2310076959,0.2864836007,4.0829954855,14.4373074092,3.908606,5.37919,2.6811595835,138.8218465081,16.3319819421,65.3279277685,322.3933235377,10.4116384881,9.9380110118,796.1841196789,3842.0987518866,7.7576914225,4.8179346729,2016.9997698533,3911.5096751406,1.3106415509,103.5570144996,19.6759552448,22.0481756219,107.4644411792,0.0832931079,420.5485350099,6.68998810304582E-05,117.9985695319,61.244932283,4.0829954855,12.2489864566,146.4080521202,3.1439065239,3.1765704877,678.185550147,1562.5623723135,0.1224898646,0.9799189165,262.3324599455,5663.1147384343,0.3593036027,5.6222847836,10.1707417545,8.737610339,816.7215869712,3.2484312083,216.3987607332,2.76827093919137E-06,147.3961370277,0.132
BMDS_WAs2-WAs2_560,70.4835787617,2.931727291,0.5524241373,0.3906228536,2,2,8,0.7938855924,1.1030572038,0.3059724739,3.0154795684,7.8748580474,56.175357,3.98693,2.6466863052,99.5108257574,12.0619182736,45.2321935261,225.9245540324,6.5737454591,6.6672253257,235.2074063357,2855.6591512814,5.5786372016,3.6185754821,3286.8727295636,2674.730377177,0.992092778,74.3014165655,17.2696514883,83.5287840449,97.7015380164,1.5137707433,343.7646707984,3.94485037139004E-05,90.4643870522,123.6346623047,6.0309591368,27.1393161157,328.4412098236,0.5427863223,2.2344703602,1.809287741,533.739883608,0.9951082576,0.9046438705,7855.3242757002,14899.484547499,0.594049475,1.1157274403,40.7783302036,22.0130008494,1176.5798180011,3.7331637057,238.2228859042,1.06506738356135E-05,114.5882235995,0.527
BMDS_MoO2-MoO2_517,32.5047536901,2.2307009569,0.6666666667,0.4714045208,1.6666666667,2.6666666667,1.6666666667,0.6833144111,1.1583427944,0.3401436969,2.8267615334,6.9200260759,4.500921,2.45311,2.041559845,22.6140922672,5.6535230668,45.2281845345,45.2264884776,9.7240596749,10.2046091356,398.5733762102,3714.0819787422,4.2966775308,1.8091273814,154.9065320306,254.9738903132,2.5949670877,83.0446003284,4.0394422312,0.6275410604,9.6418009143,0.000755876,135.6845536035,0.0316484221,14.9818361271,96.1098921358,8.4802846002,28.2676153341,225.9730130374,3.6182547628,6.0492696815,195.3292219584,1779.7290614324,1.8373949967,2.3179444574,8031.3948687131,13630.0787617771,1.8854499428,15.0327178347,25.0196663322,101.1358741422,1659.2782084086,3.9001750401,401.4001377437,0.03162204,230.9464172793,0.051
